permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/10bestthings,10BestThings,http://10bestthings.com,Curated Web,50000,closed,USA,OH,Cleveland,Cleveland,1,2009-04-01,2009-04-01,2009-04-01
/organization/11i-solutions,11i Solutions,http://www.11isolutions.com,Enterprise Software,1800000,closed,USA,AL,Huntsville,Huntsville,1,,2011-03-22,2011-03-22
/organization/169-st,169 ST.,http://www.junebugreview.com,Entertainment|Games,50000,closed,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-06-01,2009-06-01
/organization/180solutions,180Solutions,,Advertising|Advertising Platforms|Promotional,40000000,closed,USA,WA,Seattle,Bellevue,1,,2004-04-05,2004-04-05
/organization/1bib,1bib,http://www.1bib.com,Cars|Curated Web,-,closed,CHN,30,Guangzhou,Guangzhou,1,2006-01-01,2008-02-07,2008-02-07
/organization/1bog,One Block Off the Grid (1BOG),http://1bog.org,Clean Technology|Residential Solar,5000000,closed,USA,CA,SF Bay Area,San Francisco,1,2008-11-01,2010-02-11,2010-02-11
/organization/1c-company,1C Company,http://1c.ru/eng,Games|Software|Video Games,200000000,closed,RUS,48,Moscow,Moscow,1,1991-01-01,2011-10-03,2011-10-03
/organization/1cast,1Cast,http://www.1cast.com,Content|Lifestyle|News|Video,-,closed,USA,WA,Seattle,Kirkland,1,2006-06-01,2008-08-12,2008-08-12
/organization/1daylater,1DayLater,http://1daylater.com,Curated Web|Tracking,43811,closed,AUS,2,Sydney,Newcastle,2,2009-08-26,2009-05-01,2009-10-01
/organization/1daymakeover,1DayMakeover,http://www.1daymakeover.com,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,50000,closed,USA,CA,"Orange County, California",Santa Ana,1,2008-06-30,2008-06-30,2008-06-30
/organization/2100b-com-llc,2100b Sausalito LLC.,http://2100b.com,Advertising|Direct Marketing|Social Media,50000,closed,USA,CA,SF Bay Area,Sausalito,2,2011-06-15,2013-01-01,2013-01-01
/organization/22seeds,22seeds,http://www.22seeds.com,Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools,250000,closed,ISR,5,Tel Aviv,Tel Aviv,1,2010-01-01,2013-10-15,2013-10-15
/organization/24-7-card,24/7 Card,http://www.247card.com,Finance,3452941,closed,USA,CA,Los Angeles,Los Angeles,3,,2010-10-25,2011-12-21
/organization/24h00,24h00,http://www.boosket.com/,Advertising|E-Commerce|Marketing Automation,-,closed,FRA,A8,Paris,Paris,1,2006-01-01,2006-08-01,2006-08-01
/organization/24med-sp,24med Sp,,,-,closed,,,,,1,,2008-01-01,2008-01-01
/organization/24pagebooks,24PageBooks,http://24pagebooks.com,Software,50000,closed,USA,NY,"Rochester, New York",Rochester,1,2010-01-01,2011-05-24,2011-05-24
/organization/25eight,25eight,http://25eightsoftware.com,DIY|Electronics|Software,25000,closed,USA,CA,SF Bay Area,San Francisco,1,,2010-01-26,2010-01-26
